id,name,rating,about,address,price_range,cuisines,features,preferences,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,img1_url,img2_url,img3_url
10,Dolcemare Italian restaurant,4.8,"Dolcemare italian restaurant is original on the recipe on a fine dining set-up, with a good international wine selection. Our key words are: food quality, wine selection, service care. Home made pasta, wooden oven baked bread and fresh high quality local fish. Rum, Whisky, Cognac for the after dinner to enjoy on the leather armchair. Dining at Dolcemare is a whole experience.","Dolcemare Resort & Italian restaurant, Pemenang, West Nusa Tenggara Indonesia",$$$$,"['Italian', 'Seafood']","['Vegetarian friendly, Vegan options, Gluten free optionsAccepts credit cards: Mastercard, VisaDinner', 'Vegetarian friendly, Vegan options, Gluten free options', 'Accepts credit cards: Mastercard, Visa']",['island'],7:00 PM - 10:00 PM,7:00 PM - 10:00 PM,7:00 PM - 10:00 PM,7:00 PM - 10:00 PM,7:00 PM - 10:00 PM,7:00 PM - 10:00 PM,7:00 PM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/1d/36/70/photo1jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/cf/4f/9c/strozzapretti-prawn-ricotta.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/cf/4f/a3/grilled-octopus-in-parmentier.jpg?w=900&h=500&s=1
11,Flavors Restaurant Lombok,4.9,"Fine Casual Dining by The Lombok Lodge Hospitality . FLAVORS Restaurant, nestled within the charming confines of 'The Lombok Lodge, Boutique Hotel, Medana Bay, presents a delightful and unique Fine Casual Dining Experience. . With Chef Jiwa Raga's exceptional Cuisine and the restaurant's unique Wine List, your visit to FLAVORS is an absolute must during your stay in Lombok! . FLAVORS Restaurant is ideally located on the northwestern coast of Lombok, a mere 35-minute drive from Senggigi area. Just 15 minutes away from the enchanting Gili Islands and a short 5 minutes walk from the 'The Oberoi' Hotel. Enjoy the captivating scene as local fishermen ply their craf, casting their nets into the shimmering ocean under the moonlit night sky, in pursuit of the ocean's bounty. . Do not miss the private over-water dining and Chef Jiwa's Signature Lobster Menu! Secure your reservation now online for an unforgettable evening!","Jl. Oberoi Desa Medana, Tanjung, Lombok 83352 Indonesia",$$$$,"['Seafood', 'International']","['Vegetarian friendly, Vegan options, Gluten free options', 'Accepts credit cards: American Express, Mastercard, Visa']","['private dinner', 'food was amazing', 'lombok']",7:00 PM - 10:30 PM,7:00 PM - 10:30 PM,7:00 PM - 10:30 PM,7:00 PM - 10:30 PM,7:00 PM - 10:30 PM,7:00 PM - 10:30 PM,7:00 PM - 10:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/78/de/45/gourmet-dining-at-flavors.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/50/93/da/delicious-cuisine-flavors.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/78/dd/fd/gourmet-dining-at-flavors.jpg?w=900&h=500&s=1
12,Milky Wave Lombok,4.8,"Milky Wave is a Japanese fusion cuisine eco restaurant and bar located in Kuta Lombok, Indonesia. Sitting on top of the hill in a luxurious bamboo building with unmatched view out across the Indian Ocean and stunning hills around South Lombok, Milky Wave offers to complete your perfect Indonesian trip by enjoying a warm dining in our bamboo building with your loved ones. Milky Wave is where we find culinary beauty served inside a unique luxurious building with top-notch architectural design. The place for you to find the beauty of Japanese cuisine with a local Lombok twist.","Jl. Mawun, Kuta, Lombok 83573 Indonesia",$$$$,"['Japanese', 'International', 'Healthy Restaurants in Kuta', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta']","['Vegetarian friendly, Vegan options', 'Accepts credit cards: Mastercard, Visa', 'Lunch, Dinner, Late Night, Drinks']","['sushi', 'wagyu', 'amazing architecture', 'japanese cuisine', 'lombok', 'silky', 'dish', 'bamboo', 'hill', 'ambience', 'cocktails', 'super', 'aesthetic']",12:00 PM - 10:30 PM,Closed,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:30 PM - 10:30 PM,12:30 PM - 10:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/73/28/e3/sakura-sushi.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/cf/c2/f2/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/8a/82/c6/caption.jpg?w=900&h=500&s=1
13,"Kai, The Spice Table",4.8,"KAI celebrates the ancient Spice Route, where cultures met and flavors merged. Our menu blends local ingredients with Mediterranean influences, creating dishes that honor tradition while exploring new flavors. Set in the Villa Tokay Resort, KAI offers a dining experience inspired by Indonesia’s rich biodiversity. Each dish tells a story of connection and discovery, bringing together past and present, land and sea. Join us for a flavorful journey where spices and Indonesian and Mediterranean cuisine come together for something special and memorable.","Gili Air, Dusun Gili Air, Gili Indah, Gili Air, Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83355, Pemenang, West Nusa Tenggara 83355 Indonesia",$$$$,"['Mediterranean', 'Indonesian']","['Vegan optionsLunch, DinnerTable Service', 'Lunch, Dinner']","['fine dining experience', 'amazing evening', 'course degustation', 'the staff was super friendly', 'beautiful restaurant', 'amazing place', 'great atmosphere', 'delicious food', 'our waiter', 'indonesia', 'island', 'tokay', 'waiters']",6:00 PM - 9:00 PM,6:00 PM - 9:00 PM,6:00 PM - 9:00 PM,6:00 PM - 9:00 PM,6:00 AM - 9:00 PM,6:00 PM - 9:00 PM,6:00 PM - 9:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/20/0b/f1/kai-the-spice-table.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/30/6e/10/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/f2/e7/aa/caption.jpg?w=900&h=500&s=1
14,Kemangi Bar & Kitchen,4.8,"Kemangi is located right in the heart of Kuta Lombok, 100 M from Kuta beach, which is about 20 minutes driving time from the Lombok International Airport. The design is best described as ""modern tropical"" with eclectic touches emphasing the local Sasak culture. Kemangi Lombok provide a suave atmosphere for you to enjoy when you're away from home. Combining Western and Asian Fusion, Kemangi Bar & Kitchen offers a complete range of dishes for every taste. We use only the finest, localy-grown and imported ingredients to provide our customer a great breakfast, lunch and diner experience in Lombok. We also have an expansive beverage menu including fresh juice, beer, cocktails, spirits and wine. Restaurant hours are 8 am – 11 pm.","Jl. Pariwisata Pantai Kuta, Kuta, Lombok 83573 Indonesia",$$$$,"['International', 'Asian', 'Fast Food Restaurants in Kuta', 'Campania Restaurants in Kuta', 'Healthy Restaurants in Kuta']","['Vegetarian friendly, Vegan options, Gluten free options', 'Breakfast, Lunch, Dinner, Drinks']",[],8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/83/d6/e8/garden.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/a2/e0/01/img-20191015-142316-largejpg.jpg?w=700&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e4/53/7b/img-20171007-wa0001-largejpg.jpg?w=900&h=500&s=1
15,Aer Restaurant,4.9,"A hub for all-day dining with classic comfort foods and creative fusion dishes. Start with breakfast and come back for lunch, dinner and snacks. Includes indoor and alfresco areas.","ITDC Tourism Complex BS2 Kuta Kuta, Pujut, Kuta, Lombok 83573 Indonesia",$$$$,"['Italian', 'International', 'Campania Restaurants in Kuta', 'Healthy Restaurants in Kuta', 'Fast Food Restaurants in Kuta']","['Vegetarian friendly, Vegan options', 'Accepts credit cards: American Express, Mastercard, Visa', 'Breakfast, Lunch, Dinner']","['pasta', 'service level', 'pullman', 'taste', 'indonesia']",6:30 AM - 11:00 PM,6:30 AM - 11:00 PM,6:30 AM - 11:00 PM,6:30 AM - 11:00 PM,6:30 AM - 11:00 PM,6:30 AM - 11:00 PM,6:30 AM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/12/64/8f/indoor-sofa-area.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/30/a6/b8/embrace-the-true-essence.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/44/2e/0d/caption.jpg?w=900&h=500&s=1
16,Quma Restaurant,4.7,"Jl. Ikan Nautilus, Gili Trawangan, Gili Indah Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar., Pemenang, West Nusa Tenggara 83352 Indonesia","Jl. Ikan Nautilus, Gili Trawangan, Gili Indah Kec. Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Bar., Pemenang, West Nusa Tenggara 83352 Indonesia",$$$$,"['Steakhouse', 'Pizza']","['Vegetarian friendlyAccepts credit cards: American Express, Mastercard, VisaBreakfast, Lunch, Dinner', 'Accepts credit cards: American Express, Mastercard, Visa', 'Breakfast, Lunch, Dinner']","['sushi', 'gili t', 'an unforgettable dining experience', 'special dinner', 'delicious food', 'atmosphere', 'island', 'ingredients', 'dish', 'flavor', 'indonesia', 'meal', 'divine']",7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/bc/b8/a5/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/b0/be/7c/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/fe/fe/28/caption.jpg?w=900&h=500&s=1
17,Nuf'said Warung,4.4,"On beach in front of Verve Villas, Qunice Villas and just next to Holiday Resort Lombok at Senggigi Beach","Jl. Raya Mangsit, Senggigi, Lombok 83355 Indonesia",$,"['Seafood', 'Asian', 'Latin Restaurants in Senggigi']","['Vegetarian friendly, Vegan optionsLunch, Dinner, DrinksTable Service', 'Vegetarian friendly, Vegan options', 'Lunch, Dinner, Drinks']","['seafood', 'rice', 'nasi goreng', 'fresh fish', 'calamari', 'snapper', 'cold beer', 'watch the sunset', 'local food', 'holiday resort', 'tasty food', 'cooked beautifully', 'lombok', 'hotel', 'beach', 'warung', 'barracuda', 'sand', 'katamaran', 'ocean']",Closed,Closed,Closed,Closed,Closed,Closed,Closed,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/58/05/67/photo8jpg.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/9b/fb/d5/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/cb/e3/cb/caption.jpg?w=900&h=500&s=1
18,Nami By Hani,4.9,"Nami by Hani blends Indonesian flavors with global influences, offering a warm and intimate dining experience at Hani Hideaway. Our menu highlights fresh, locally sourced ingredients and personalized service in a relaxed, cozy setting. ✨ À la carte dining – Enjoy lunch (12–6 pm) or dinner (6–10 pm) on the rooftop terrace or in the garden. Walk-ins welcome or book ahead. Family Dinners – A 4-course shared-table experience at 7:30 pm on select evenings. Reservation required. Candlelight Dinners – A romantic 3-course private dinner in the garden, perfect for special occasions. Reservation required. Sunset Picnics – A private beachside setup at 5 pm to enjoy the island’s best sunsets. Pre-booking required. We can’t wait to welcome you to Nami by Hani, where every meal is designed to be memorable.","Jl. Seni Hani Hideaway, Pemenang, West Nusa Tenggara 83352 Indonesia",$$ - $$$,"['Asian', 'Fusion']","['Vegetarian friendly, Vegan options, Gluten free options', 'Accepts credit cards: Mastercard, Visa', 'Breakfast, Lunch, Dinner, Brunch, Drinks']","['tuna tataki', 'ginger fish', 'beef rendang', 'tacos', 'family dinner', 'excellent food', 'a wonderful dining experience', 'pure magic', 'fellow guests', 'warm atmosphere', 'fine dining', 'recommend eating here', 'every bite', 'delicious meal', 'best food on the island', 'my girlfriend', 'last night', 'during our stay', 'hideaway', 'vibe']",12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/f4/7f/41/enjoy-our-rooftop-a-la.jpg?w=900&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/dd/7b/d5/at-nami-by-hani-our-a.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/b1/b8/55/caption.jpg?w=900&h=500&s=1
19,The Kliff,4.4,"Indulge in a delicious selection of grills, meat, and seafood with a stunning view overlooking the ocean, The Peak Restaurant exudes relaxation. During the day savour lunch from the extensive a la carte menu serving delicious pizzas, gourmet sandwiches and fresh salads. At sundown, candlelight transforms this outdoor space into a romantic dining experience overlooking the waves","Jl. Raya Senggigi Katamaran Resort, Mangsit, Senggigi, Lombok 83355 Indonesia",$$ - $$$,"['Italian', 'Japanese', 'Korean Restaurants in Mangsit']","['Vegetarian friendly, Vegan options, Gluten free optionsAccepts Credit CardsLunch, Dinner', 'Vegetarian friendly, Vegan options, Gluten free options', 'Lunch, Dinner']","['pizza', 'lobster spaghetti', 'banoffee', 'sunset view', 'ate here', 'delicious food', 'the cliff', 'amazing restaurant', 'every night', 'lombok', 'cocktails', 'katamaran', 'hotel', 'ocean', 'volcano', 'buggy', 'europe', 'square']",4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f1/fc/a8/paella-mixta.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e8/78/70/caption.jpg?w=900&h=500&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f1/fc/a5/black-doug-pizza.jpg?w=900&h=500&s=1
